Body Size,Body Weight,Height,Bone Structure,Complexion,General feel of skin,Texture of Skin,Hair Color,Appearance of Hair,Shape of face,Eyes,Eyelashes,Blinking of Eyes,Cheeks,Nose,Teeth and gums,Lips,Nails,Appetite,Liking tastes,Dosha
Slim,Low - difficulties in gaining weight,Short,"Light, Small bones, prominent joints","Dark-Complexion, tans easily","Dry and thin, cool to touch, rough",Oily,"Black/Brown,dull","Dry, black, knotted, brittle","Long, angular, thin","Small, active, darting, dark eyes",Scanty eyelashes,Excessive Blinking,"Wrinkled, Sunken","Crooked, Narrow","Irregular, Protruding teeth, Receding gums","Tight, thin, dry lips which chaps easily","Dry, Rough, Brittle, Break","Irregular, Scanty",Sweet / Bitter / Astringent,Vata
Slim,Low - difficulties in gaining weight,Short,"Light, Small bones, prominent joints","Dark-Complexion, tans easily","Dry and thin, cool to touch, rough",Oily,"Black/Brown,dull","Dry, black, knotted, brittle","Long, angular, thin","Small, active, darting, dark eyes",Scanty eyelashes,Excessive Blinking,"Wrinkled, Sunken","Crooked, Narrow","Irregular, Protruding teeth, Receding gums","Tight, thin, dry lips which chaps easily","Dry, Rough, Brittle, Break","Irregular, Scanty",Pungent / Bitter / Astringent,Vata
Medium,Moderate - no difficulties in gaining or losing weight,Average,Medium bone structure,Fair-skin sunburns easily,"Smooth and warm, oily T-zone","Freckles, many moles, redness and rashes","Red, light brown, yellow","Straight, oily","Heart-shaped, pointed chin","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,Moderate Blinking,"Smooth, Flat","Pointed, Average","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Sharp, Flexible, Pink, Lustrous","Strong, Unbearable",Pungent / Bitter / Astringent,Pitta
Medium,Moderate - no difficulties in gaining or losing weight,Average,Medium bone structure,Fair-skin sunburns easily,"Smooth and warm, oily T-zone","Freckles, many moles, redness and rashes","Red, light brown, yellow","Straight, oily","Heart-shaped, pointed chin","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,Moderate Blinking,"Smooth, Flat","Pointed, Average","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Sharp, Flexible, Pink, Lustrous","Strong, Unbearable",Sweet / Sour / Salty,Pitta
Large,Heavy - difficulties in losing weight,Tall,"Large, broad shoulders , heavy bone structure","White, pale, tans easily","Thick and moist/greasy, cold",Oily,Brown,"Thick, curly","Large, round, full","Big, round, beautiful, glowing eyes",Thick/Fused eyelashes,More or less stable,"Rounded, Plump","Rounded, Large open nostrils","Big, White, Strong teeth, Healthy gums","Lips are large, soft, pink, and full","Thick, Oily, Smooth, Polished",Slow but steady,Sweet / Sour / Salty,Kapha
Slim,Low - difficulties in gaining weight,Average,Medium bone structure,"Dark-Complexion, tans easily","Dry and thin, cool to touch, rough","Freckles, many moles, redness and rashes","Red, light brown, yellow","Straight, oily","Heart-shaped, pointed chin","Small, active, darting, dark eyes",Scanty eyelashes,Moderate Blinking,"Wrinkled, Sunken","Pointed, Average","Irregular, Protruding teeth, Receding gums","Tight, thin, dry lips which chaps easily","Thick, Oily, Smooth, Polished","Irregular, Scanty",Sweet / Sour / Salty,vata+pitta
Medium,Heavy - difficulties in losing weight,Short,"Light, Small bones, prominent joints","Dark-Complexion, tans easily","Smooth and warm, oily T-zone","Dry, pigments and aging","Red, light brown, yellow","Dry, black, knotted, brittle","Heart-shaped, pointed chin","Small, active, darting, dark eyes",Scanty eyelashes,Moderate Blinking,"Wrinkled, Sunken","Rounded, Large open nostrils","Irregular, Protruding teeth, Receding gums","Lips are large, soft, pink, and full","Dry, Rough, Brittle, Break","Irregular, Scanty",Sweet / Bitter / Astringent,Vata
Slim,Low - difficulties in gaining weight,Short,Medium bone structure,"Dark-Complexion, tans easily","Smooth and warm, oily T-zone","Dry, pigments and aging","Black/Brown,dull","Dry, black, knotted, brittle","Heart-shaped, pointed chin","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,Moderate Blinking,"Wrinkled, Sunken","Crooked, Narrow","Medium-sized teeth, Reddish gums","Tight, thin, dry lips which chaps easily","Dry, Rough, Brittle, Break","Strong, Unbearable",Sweet / Sour / Salty,vata+pitta
Medium,Low - difficulties in gaining weight,Short,Medium bone structure,Fair-skin sunburns easily,"Dry and thin, cool to touch, rough","Dry, pigments and aging",Brown,"Dry, black, knotted, brittle","Long, angular, thin","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,Excessive Blinking,"Wrinkled, Sunken","Crooked, Narrow","Medium-sized teeth, Reddish gums","Lips are large, soft, pink, and full","Sharp, Flexible, Pink, Lustrous",Slow but steady,Pungent / Bitter / Astringent,vata+pitta
Slim,Heavy - difficulties in losing weight,Short,Medium bone structure,"Dark-Complexion, tans easily","Smooth and warm, oily T-zone","Freckles, many moles, redness and rashes","Black/Brown,dull","Straight, oily","Large, round, full","Small, active, darting, dark eyes",Scanty eyelashes,Moderate Blinking,"Smooth, Flat","Crooked, Narrow","Medium-sized teeth, Reddish gums","Tight, thin, dry lips which chaps easily","Sharp, Flexible, Pink, Lustrous","Irregular, Scanty",Sweet / Bitter / Astringent,vata+pitta
Slim,Low - difficulties in gaining weight,Short,"Light, Small bones, prominent joints",Fair-skin sunburns easily,"Thick and moist/greasy, cold","Dry, pigments and aging","Black/Brown,dull","Straight, oily","Long, angular, thin","Big, round, beautiful, glowing eyes",Scanty eyelashes,Excessive Blinking,"Wrinkled, Sunken","Crooked, Narrow","Medium-sized teeth, Reddish gums","Tight, thin, dry lips which chaps easily","Sharp, Flexible, Pink, Lustrous","Irregular, Scanty",Sweet / Sour / Salty,Vata
Slim,Low - difficulties in gaining weight,Short,"Light, Small bones, prominent joints",Fair-skin sunburns easily,"Smooth and warm, oily T-zone",Oily,Brown,"Dry, black, knotted, brittle","Heart-shaped, pointed chin","Medium-sized, penetrating, light-sensitive eyes",Scanty eyelashes,Moderate Blinking,"Rounded, Plump","Crooked, Narrow","Irregular, Protruding teeth, Receding gums","Tight, thin, dry lips which chaps easily","Thick, Oily, Smooth, Polished","Irregular, Scanty",Sweet / Bitter / Astringent,Vata
Large,Heavy - difficulties in losing weight,Tall,Medium bone structure,"White, pale, tans easily","Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Dry, black, knotted, brittle","Large, round, full","Small, active, darting, dark eyes",Thick/Fused eyelashes,Moderate Blinking,"Wrinkled, Sunken","Rounded, Large open nostrils","Big, White, Strong teeth, Healthy gums","Tight, thin, dry lips which chaps easily","Thick, Oily, Smooth, Polished",Slow but steady,Sweet / Sour / Salty,pitta+kapha
Medium,Moderate - no difficulties in gaining or losing weight,Average,Medium bone structure,Fair-skin sunburns easily,"Dry and thin, cool to touch, rough",Oily,"Red, light brown, yellow","Straight, oily","Heart-shaped, pointed chin","Medium-sized, penetrating, light-sensitive eyes",Scanty eyelashes,More or less stable,"Wrinkled, Sunken","Crooked, Narrow","Irregular, Protruding teeth, Receding gums","Lips are soft, medium-sized","Sharp, Flexible, Pink, Lustrous","Strong, Unbearable",Sweet / Sour / Salty,Pitta
Slim,Moderate - no difficulties in gaining or losing weight,Short,Medium bone structure,"Dark-Complexion, tans easily","Dry and thin, cool to touch, rough",Oily,"Black/Brown,dull","Thick, curly","Long, angular, thin","Small, active, darting, dark eyes",Scanty eyelashes,Moderate Blinking,"Smooth, Flat","Pointed, Average","Irregular, Protruding teeth, Receding gums","Tight, thin, dry lips which chaps easily","Sharp, Flexible, Pink, Lustrous",Slow but steady,Sweet / Sour / Salty,Vata
Slim,Moderate - no difficulties in gaining or losing weight,Average,"Light, Small bones, prominent joints","White, pale, tans easily","Thick and moist/greasy, cold","Freckles, many moles, redness and rashes","Black/Brown,dull","Dry, black, knotted, brittle","Heart-shaped, pointed chin","Small, active, darting, dark eyes",Scanty eyelashes,More or less stable,"Wrinkled, Sunken","Crooked, Narrow","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Dry, Rough, Brittle, Break","Irregular, Scanty",Sweet / Sour / Salty,Vata
Medium,Moderate - no difficulties in gaining or losing weight,Average,"Light, Small bones, prominent joints","Dark-Complexion, tans easily","Smooth and warm, oily T-zone","Freckles, many moles, redness and rashes","Black/Brown,dull","Dry, black, knotted, brittle","Long, angular, thin","Medium-sized, penetrating, light-sensitive eyes",Scanty eyelashes,Moderate Blinking,"Wrinkled, Sunken","Crooked, Narrow","Irregular, Protruding teeth, Receding gums","Lips are soft, medium-sized","Dry, Rough, Brittle, Break","Strong, Unbearable",Sweet / Sour / Salty,vata+pitta
Large,Heavy - difficulties in losing weight,Average,"Light, Small bones, prominent joints",Fair-skin sunburns easily,"Dry and thin, cool to touch, rough",Oily,"Black/Brown,dull","Dry, black, knotted, brittle","Large, round, full","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,More or less stable,"Rounded, Plump","Rounded, Large open nostrils","Big, White, Strong teeth, Healthy gums","Tight, thin, dry lips which chaps easily","Sharp, Flexible, Pink, Lustrous","Strong, Unbearable",Sweet / Sour / Salty,pitta+kapha
Medium,Moderate - no difficulties in gaining or losing weight,Average,Medium bone structure,"Dark-Complexion, tans easily","Dry and thin, cool to touch, rough","Freckles, many moles, redness and rashes","Black/Brown,dull","Dry, black, knotted, brittle","Heart-shaped, pointed chin","Small, active, darting, dark eyes",Scanty eyelashes,Moderate Blinking,"Rounded, Plump","Pointed, Average","Irregular, Protruding teeth, Receding gums","Tight, thin, dry lips which chaps easily","Sharp, Flexible, Pink, Lustrous","Strong, Unbearable",Sweet / Sour / Salty,vata+pitta
Medium,Moderate - no difficulties in gaining or losing weight,Average,Medium bone structure,"Dark-Complexion, tans easily","Smooth and warm, oily T-zone","Dry, pigments and aging","Black/Brown,dull","Straight, oily","Large, round, full","Medium-sized, penetrating, light-sensitive eyes",Scanty eyelashes,Moderate Blinking,"Smooth, Flat","Crooked, Narrow","Irregular, Protruding teeth, Receding gums","Lips are soft, medium-sized","Sharp, Flexible, Pink, Lustrous","Irregular, Scanty",Sweet / Sour / Salty,vata+pitta
Medium,Moderate - no difficulties in gaining or losing weight,Average,"Large, broad shoulders , heavy bone structure",Fair-skin sunburns easily,"Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Dry, black, knotted, brittle","Large, round, full","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,Moderate Blinking,"Wrinkled, Sunken","Crooked, Narrow","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Dry, Rough, Brittle, Break","Strong, Unbearable",Sweet / Sour / Salty,vata+pitta
Medium,Moderate - no difficulties in gaining or losing weight,Average,"Light, Small bones, prominent joints",Fair-skin sunburns easily,"Dry and thin, cool to touch, rough","Dry, pigments and aging","Red, light brown, yellow","Straight, oily","Long, angular, thin","Small, active, darting, dark eyes",Thick/Fused eyelashes,More or less stable,"Wrinkled, Sunken","Crooked, Narrow","Medium-sized teeth, Reddish gums","Lips are large, soft, pink, and full","Sharp, Flexible, Pink, Lustrous","Irregular, Scanty",Sweet / Bitter / Astringent,vata+pitta
Medium,Moderate - no difficulties in gaining or losing weight,Tall,"Light, Small bones, prominent joints",Fair-skin sunburns easily,"Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Straight, oily","Long, angular, thin","Small, active, darting, dark eyes",Moderate eyelashes,Moderate Blinking,"Wrinkled, Sunken","Pointed, Average","Irregular, Protruding teeth, Receding gums","Lips are soft, medium-sized","Sharp, Flexible, Pink, Lustrous","Strong, Unbearable",Sweet / Sour / Salty,vata+pitta
Medium,Moderate - no difficulties in gaining or losing weight,Short,Medium bone structure,"Dark-Complexion, tans easily","Smooth and warm, oily T-zone",Oily,"Red, light brown, yellow","Straight, oily","Long, angular, thin","Small, active, darting, dark eyes",Scanty eyelashes,More or less stable,"Wrinkled, Sunken","Crooked, Narrow","Medium-sized teeth, Reddish gums","Tight, thin, dry lips which chaps easily","Sharp, Flexible, Pink, Lustrous","Irregular, Scanty",Sweet / Sour / Salty,vata+pitta
Medium,Moderate - no difficulties in gaining or losing weight,Average,Medium bone structure,"White, pale, tans easily","Dry and thin, cool to touch, rough","Freckles, many moles, redness and rashes","Black/Brown,dull","Straight, oily","Long, angular, thin","Medium-sized, penetrating, light-sensitive eyes",Scanty eyelashes,Moderate Blinking,"Smooth, Flat","Crooked, Narrow","Irregular, Protruding teeth, Receding gums","Lips are soft, medium-sized","Dry, Rough, Brittle, Break","Strong, Unbearable",Sweet / Sour / Salty,vata+pitta
Slim,Low - difficulties in gaining weight,Average,Medium bone structure,Fair-skin sunburns easily,"Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Thick, curly","Long, angular, thin","Small, active, darting, dark eyes",Scanty eyelashes,Moderate Blinking,"Smooth, Flat","Rounded, Large open nostrils","Medium-sized teeth, Reddish gums","Tight, thin, dry lips which chaps easily","Thick, Oily, Smooth, Polished","Irregular, Scanty",Sweet / Sour / Salty,vata+pitta
Medium,Moderate - no difficulties in gaining or losing weight,Average,"Light, Small bones, prominent joints","White, pale, tans easily","Dry and thin, cool to touch, rough",Oily,"Black/Brown,dull","Dry, black, knotted, brittle","Long, angular, thin","Small, active, darting, dark eyes",Moderate eyelashes,Excessive Blinking,"Wrinkled, Sunken","Pointed, Average","Irregular, Protruding teeth, Receding gums","Tight, thin, dry lips which chaps easily","Dry, Rough, Brittle, Break",Slow but steady,Sweet / Sour / Salty,Vata
Slim,Moderate - no difficulties in gaining or losing weight,Short,"Light, Small bones, prominent joints",Fair-skin sunburns easily,"Smooth and warm, oily T-zone",Oily,"Red, light brown, yellow","Dry, black, knotted, brittle","Large, round, full","Small, active, darting, dark eyes",Scanty eyelashes,Excessive Blinking,"Wrinkled, Sunken","Crooked, Narrow","Medium-sized teeth, Reddish gums","Tight, thin, dry lips which chaps easily","Sharp, Flexible, Pink, Lustrous","Irregular, Scanty",Sweet / Sour / Salty,Vata
Slim,Low - difficulties in gaining weight,Average,"Light, Small bones, prominent joints",Fair-skin sunburns easily,"Smooth and warm, oily T-zone","Freckles, many moles, redness and rashes","Black/Brown,dull","Dry, black, knotted, brittle","Long, angular, thin","Big, round, beautiful, glowing eyes",Moderate eyelashes,Excessive Blinking,"Wrinkled, Sunken","Pointed, Average","Irregular, Protruding teeth, Receding gums","Tight, thin, dry lips which chaps easily","Dry, Rough, Brittle, Break","Irregular, Scanty",Sweet / Sour / Salty,Vata
Slim,Heavy - difficulties in losing weight,Average,"Light, Small bones, prominent joints",Fair-skin sunburns easily,"Dry and thin, cool to touch, rough",Oily,"Red, light brown, yellow","Dry, black, knotted, brittle","Long, angular, thin","Small, active, darting, dark eyes",Moderate eyelashes,Excessive Blinking,"Smooth, Flat","Crooked, Narrow","Medium-sized teeth, Reddish gums","Tight, thin, dry lips which chaps easily","Dry, Rough, Brittle, Break","Irregular, Scanty",Sweet / Bitter / Astringent,Vata
Medium,Low - difficulties in gaining weight,Short,Medium bone structure,"Dark-Complexion, tans easily","Dry and thin, cool to touch, rough",Oily,"Red, light brown, yellow","Dry, black, knotted, brittle","Long, angular, thin","Small, active, darting, dark eyes",Scanty eyelashes,More or less stable,"Wrinkled, Sunken","Crooked, Narrow","Medium-sized teeth, Reddish gums","Tight, thin, dry lips which chaps easily","Dry, Rough, Brittle, Break","Irregular, Scanty",Sweet / Sour / Salty,Vata
Medium,Moderate - no difficulties in gaining or losing weight,Average,Medium bone structure,Fair-skin sunburns easily,"Dry and thin, cool to touch, rough","Dry, pigments and aging","Black/Brown,dull","Dry, black, knotted, brittle","Long, angular, thin","Medium-sized, penetrating, light-sensitive eyes",Thick/Fused eyelashes,Excessive Blinking,"Smooth, Flat","Crooked, Narrow","Irregular, Protruding teeth, Receding gums","Tight, thin, dry lips which chaps easily","Dry, Rough, Brittle, Break","Strong, Unbearable",Sweet / Sour / Salty,vata+pitta
Medium,Moderate - no difficulties in gaining or losing weight,Average,Medium bone structure,"White, pale, tans easily","Thick and moist/greasy, cold","Freckles, many moles, redness and rashes","Black/Brown,dull","Straight, oily","Long, angular, thin","Small, active, darting, dark eyes",Moderate eyelashes,Moderate Blinking,"Smooth, Flat","Pointed, Average","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Sharp, Flexible, Pink, Lustrous","Irregular, Scanty",Sweet / Sour / Salty,Pitta
Medium,Moderate - no difficulties in gaining or losing weight,Tall,Medium bone structure,Fair-skin sunburns easily,"Dry and thin, cool to touch, rough",Oily,"Black/Brown,dull","Dry, black, knotted, brittle","Large, round, full","Medium-sized, penetrating, light-sensitive eyes",Scanty eyelashes,Moderate Blinking,"Wrinkled, Sunken","Crooked, Narrow","Irregular, Protruding teeth, Receding gums","Lips are soft, medium-sized","Dry, Rough, Brittle, Break","Strong, Unbearable",Sweet / Sour / Salty,vata+pitta
Medium,Moderate - no difficulties in gaining or losing weight,Tall,"Light, Small bones, prominent joints",Fair-skin sunburns easily,"Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Straight, oily","Large, round, full","Small, active, darting, dark eyes",Moderate eyelashes,Moderate Blinking,"Smooth, Flat","Crooked, Narrow","Irregular, Protruding teeth, Receding gums","Tight, thin, dry lips which chaps easily","Dry, Rough, Brittle, Break",Slow but steady,Sweet / Sour / Salty,vata+pitta
Slim,Moderate - no difficulties in gaining or losing weight,Short,"Light, Small bones, prominent joints","White, pale, tans easily","Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Thick, curly","Large, round, full","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,Moderate Blinking,"Smooth, Flat","Rounded, Large open nostrils","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Thick, Oily, Smooth, Polished","Strong, Unbearable",Sweet / Sour / Salty,vata+pitta
Slim,Moderate - no difficulties in gaining or losing weight,Short,"Light, Small bones, prominent joints",Fair-skin sunburns easily,"Dry and thin, cool to touch, rough",Oily,"Black/Brown,dull","Dry, black, knotted, brittle","Long, angular, thin","Medium-sized, penetrating, light-sensitive eyes",Scanty eyelashes,Moderate Blinking,"Wrinkled, Sunken","Rounded, Large open nostrils","Irregular, Protruding teeth, Receding gums","Tight, thin, dry lips which chaps easily","Dry, Rough, Brittle, Break","Irregular, Scanty",Sweet / Sour / Salty,Vata
Medium,Moderate - no difficulties in gaining or losing weight,Average,Medium bone structure,"Dark-Complexion, tans easily","Dry and thin, cool to touch, rough",Oily,"Black/Brown,dull","Thick, curly","Long, angular, thin","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,Excessive Blinking,"Smooth, Flat","Crooked, Narrow","Medium-sized teeth, Reddish gums","Tight, thin, dry lips which chaps easily","Dry, Rough, Brittle, Break","Strong, Unbearable",Sweet / Sour / Salty,vata+pitta
Large,Heavy - difficulties in losing weight,Average,"Large, broad shoulders , heavy bone structure","White, pale, tans easily","Thick and moist/greasy, cold",Oily,"Black/Brown,dull","Dry, black, knotted, brittle","Large, round, full","Big, round, beautiful, glowing eyes",Thick/Fused eyelashes,Moderate Blinking,"Rounded, Plump","Rounded, Large open nostrils","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Dry, Rough, Brittle, Break",Slow but steady,Sweet / Sour / Salty,Kapha
Slim,Low - difficulties in gaining weight,Tall,"Light, Small bones, prominent joints",Fair-skin sunburns easily,"Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Dry, black, knotted, brittle","Long, angular, thin","Small, active, darting, dark eyes",Moderate eyelashes,Moderate Blinking,"Smooth, Flat","Crooked, Narrow","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Sharp, Flexible, Pink, Lustrous",Slow but steady,Sweet / Sour / Salty,vata+pitta
Medium,Moderate - no difficulties in gaining or losing weight,Short,Medium bone structure,"White, pale, tans easily","Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Thick, curly","Long, angular, thin","Medium-sized, penetrating, light-sensitive eyes",Thick/Fused eyelashes,Moderate Blinking,"Rounded, Plump","Crooked, Narrow","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Dry, Rough, Brittle, Break","Strong, Unbearable",Sweet / Sour / Salty,vata+pitta
Medium,Moderate - no difficulties in gaining or losing weight,Average,Medium bone structure,Fair-skin sunburns easily,"Dry and thin, cool to touch, rough",Oily,"Black/Brown,dull","Straight, oily","Long, angular, thin","Small, active, darting, dark eyes",Scanty eyelashes,Moderate Blinking,"Smooth, Flat","Crooked, Narrow","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Thick, Oily, Smooth, Polished","Strong, Unbearable",Sweet / Sour / Salty,vata+pitta
Medium,Moderate - no difficulties in gaining or losing weight,Tall,Medium bone structure,"Dark-Complexion, tans easily","Dry and thin, cool to touch, rough","Dry, pigments and aging","Black/Brown,dull","Dry, black, knotted, brittle","Heart-shaped, pointed chin","Big, round, beautiful, glowing eyes",Scanty eyelashes,Moderate Blinking,"Wrinkled, Sunken","Crooked, Narrow","Irregular, Protruding teeth, Receding gums","Lips are soft, medium-sized","Dry, Rough, Brittle, Break","Strong, Unbearable",Sweet / Bitter / Astringent,vata+pitta
Slim,Low - difficulties in gaining weight,Short,"Light, Small bones, prominent joints",Fair-skin sunburns easily,"Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Thick, curly","Heart-shaped, pointed chin","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,Moderate Blinking,"Rounded, Plump","Crooked, Narrow","Medium-sized teeth, Reddish gums","Tight, thin, dry lips which chaps easily","Dry, Rough, Brittle, Break","Irregular, Scanty",Sweet / Sour / Salty,vata+pitta
Medium,Moderate - no difficulties in gaining or losing weight,Short,Medium bone structure,Fair-skin sunburns easily,"Smooth and warm, oily T-zone","Dry, pigments and aging","Red, light brown, yellow","Dry, black, knotted, brittle","Long, angular, thin","Big, round, beautiful, glowing eyes",Moderate eyelashes,Moderate Blinking,"Wrinkled, Sunken","Rounded, Large open nostrils","Irregular, Protruding teeth, Receding gums","Tight, thin, dry lips which chaps easily","Dry, Rough, Brittle, Break","Strong, Unbearable",Sweet / Sour / Salty,vata+pitta
Slim,Moderate - no difficulties in gaining or losing weight,Short,Medium bone structure,"White, pale, tans easily","Smooth and warm, oily T-zone","Dry, pigments and aging","Black/Brown,dull","Straight, oily","Long, angular, thin","Medium-sized, penetrating, light-sensitive eyes",Scanty eyelashes,Moderate Blinking,"Wrinkled, Sunken","Pointed, Average","Irregular, Protruding teeth, Receding gums","Tight, thin, dry lips which chaps easily","Dry, Rough, Brittle, Break","Irregular, Scanty",Sweet / Sour / Salty,Vata
Medium,Moderate - no difficulties in gaining or losing weight,Average,Medium bone structure,Fair-skin sunburns easily,"Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Straight, oily","Large, round, full","Small, active, darting, dark eyes",Moderate eyelashes,Moderate Blinking,"Smooth, Flat","Crooked, Narrow","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Sharp, Flexible, Pink, Lustrous","Irregular, Scanty",Sweet / Sour / Salty,Pitta
Medium,Moderate - no difficulties in gaining or losing weight,Average,Medium bone structure,Fair-skin sunburns easily,"Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Thick, curly","Long, angular, thin","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,Moderate Blinking,"Rounded, Plump","Crooked, Narrow","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Thick, Oily, Smooth, Polished",Slow but steady,Sweet / Sour / Salty,Pitta
Medium,Moderate - no difficulties in gaining or losing weight,Average,Medium bone structure,Fair-skin sunburns easily,"Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Straight, oily","Long, angular, thin","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,Moderate Blinking,"Rounded, Plump","Crooked, Narrow","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Thick, Oily, Smooth, Polished",Slow but steady,Sweet / Sour / Salty,Pitta
Medium,Moderate - no difficulties in gaining or losing weight,Short,Medium bone structure,Fair-skin sunburns easily,"Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Dry, black, knotted, brittle","Long, angular, thin","Big, round, beautiful, glowing eyes",Moderate eyelashes,Moderate Blinking,"Wrinkled, Sunken","Rounded, Large open nostrils","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Dry, Rough, Brittle, Break",Slow but steady,Sweet / Sour / Salty,vata+pitta
Medium,Moderate - no difficulties in gaining or losing weight,Tall,Medium bone structure,Fair-skin sunburns easily,"Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Dry, black, knotted, brittle","Long, angular, thin","Small, active, darting, dark eyes",Moderate eyelashes,Moderate Blinking,"Smooth, Flat","Crooked, Narrow","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Dry, Rough, Brittle, Break","Strong, Unbearable",Sweet / Sour / Salty,vata+pitta
Slim,Low - difficulties in gaining weight,Average,"Light, Small bones, prominent joints",Fair-skin sunburns easily,"Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Thick, curly","Heart-shaped, pointed chin","Small, active, darting, dark eyes",Moderate eyelashes,Excessive Blinking,"Wrinkled, Sunken","Crooked, Narrow","Irregular, Protruding teeth, Receding gums","Lips are soft, medium-sized","Sharp, Flexible, Pink, Lustrous","Irregular, Scanty",Sweet / Sour / Salty,vata+pitta
Large,Heavy - difficulties in losing weight,Average,"Large, broad shoulders , heavy bone structure",Fair-skin sunburns easily,"Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Straight, oily","Large, round, full","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,Moderate Blinking,"Rounded, Plump","Rounded, Large open nostrils","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Dry, Rough, Brittle, Break",Slow but steady,Sweet / Sour / Salty,vata+kapha
Large,Moderate - no difficulties in gaining or losing weight,Tall,"Large, broad shoulders , heavy bone structure",Fair-skin sunburns easily,"Dry and thin, cool to touch, rough",Oily,"Black/Brown,dull","Straight, oily","Long, angular, thin","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,Moderate Blinking,"Smooth, Flat","Rounded, Large open nostrils","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Dry, Rough, Brittle, Break","Irregular, Scanty",Sweet / Sour / Salty,vata+pitta
Medium,Moderate - no difficulties in gaining or losing weight,Average,"Large, broad shoulders , heavy bone structure","White, pale, tans easily","Dry and thin, cool to touch, rough","Dry, pigments and aging","Black/Brown,dull","Straight, oily","Long, angular, thin","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,Moderate Blinking,"Wrinkled, Sunken","Rounded, Large open nostrils","Big, White, Strong teeth, Healthy gums","Tight, thin, dry lips which chaps easily","Thick, Oily, Smooth, Polished",Slow but steady,Sweet / Sour / Salty,vata+pitta
Medium,Moderate - no difficulties in gaining or losing weight,Short,Medium bone structure,Fair-skin sunburns easily,"Dry and thin, cool to touch, rough",Oily,"Red, light brown, yellow","Dry, black, knotted, brittle","Long, angular, thin","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,Moderate Blinking,"Smooth, Flat","Rounded, Large open nostrils","Medium-sized teeth, Reddish gums","Tight, thin, dry lips which chaps easily","Dry, Rough, Brittle, Break",Slow but steady,Sweet / Sour / Salty,vata+pitta
Slim,Moderate - no difficulties in gaining or losing weight,Average,Medium bone structure,Fair-skin sunburns easily,"Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Dry, black, knotted, brittle","Long, angular, thin","Small, active, darting, dark eyes",Moderate eyelashes,Moderate Blinking,"Smooth, Flat","Rounded, Large open nostrils","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Sharp, Flexible, Pink, Lustrous",Slow but steady,Sweet / Sour / Salty,Pitta
